SITE	MHAB	Punto	LABEL	OX	OY	SITE	SITE*	MICRO	MICROCAMPO	PUNTO	PMAH_sd	PMAH_pl	TBAC_sd	TBAC_pl	BVUL_sd	BVUL_pl	BVUL_pl2	CMON_sd	CMON_pl	CMON_pl2	PNIG_sd	PNIG_pl	PNIG_pl2	RSAX_sd	RSAX_pl	RSAX_pl2	HHEL_sd	HHEL_pl	HHEL_pl2	ROSA_sd	ROSA_pl	ROSA_pl2	LARB_sd	LARB_pl	LARB_pl2	JPHO_sd	JPHO_pl	JPHO_pl2	JCOM_sd	JCOM_pl	JCOM_pl2	AGRA_sd	AGRA_pl	AGRA_pl2	AITA_sd	AITA_pl	AITA_pl2
CAL	R	18	CALR18	-121.1	-117.98	CAL	CAL	R	R	18	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	19	CALR19	-113.31	-123.86	CAL	CAL	R	R	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	R	20	CALR20	-113.58	-126.95	CAL	CAL	R	R	20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	S	1	CALS1	-139.41	-20.53	CAL	CAL	S	S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	S	2	CALS2	-141.1	-26.85	CAL	CAL	S	S	2	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	S	3	CALS3	-141.13	-33.56	CAL	CAL	S	S	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	S	4	CALS4	-142.81	-39.84	CAL	CAL	S	S	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	S	5	CALS5	-143.19	-44.12	CAL	CAL	S	S	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	S	6	CALS6	-144.91	-51.75	CAL	CAL	S	S	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	S	7	CALS7	-146.22	-59.14	CAL	CAL	S	S	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	S	8	CALS8	-146.98	-63.47	CAL	CAL	S	S	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
