n	state	seedling	eppendorf	site	microhabitat	ref	xref	yref	distance	angle	anglerad	x	y
90	SDL	SDL90	SDL109	OUT	SUELO	1834	330,242	387,849	6,9	20	0,34906585	332,601939	394,3328791
91	SDL	SDL91	SDL110	OUT	SUELO	1834	330,242	387,849	6,9	20	0,34906585	332,601939	394,3328791
92	SDL	SDL92	SDL111	OUT	SUELO	1834	330,242	387,849	15,8	340	5,934119457	324,8380817	402,6961434
93	SDL	SDL93	SDL112	OUT	SUELO	1834	330,242	387,849	13,1	325	5,672320069	322,7281487	398,5798918
94	SDL	SDL94	SDL113	OUT	SUELO	1834	330,242	387,849	15,8	340	5,934119457	324,8380817	402,6961434
95	SDL	SDL95	SDL114	OUT	SUELO	1834	330,242	387,849	15,8	340	5,934119457	324,8380817	402,6961434
96	SDL	SDL96	SDL115	OUT	SUELO	1110	330,784	473,573	12,8	75	1,308996939	343,1478506	476,8858838
97	SDL	SDL97	SDL116	OUT	SUELO	1110	330,784	473,573	12,8	75	1,308996939	343,1478506	476,8858838
98	SDL	SDL98	SDL117	OUT	SUELO	1110	330,784	473,573	12,8	75	1,308996939	343,1478506	476,8858838
99	SDL	SDL99	SDL118	OUT	SUELO	1110	330,784	473,573	17	75	1,308996939	347,204739	477,9729238
100	SDL	SDL100	SDL119	OUT	SUELO	1110	330,784	473,573	15,3	80	1,396263402	345,8515586	476,2298171
101	SDL	SDL101	SDL120	OUT	SUELO	1110	330,784	473,573	18	80	1,396263402	348,5105396	476,6986672
102	SDL	SDL102	SDL121	IN	PRUNUS	1921	187,4	300	0	0	0	187,4	300
103	SDL	SDL103	SDL122	IN	PRUNUS	1921	187,4	300	0	0	0	187,4	300
104	SDL	SDL104	SDL123	IN	PRUNUS	1921	187,4	300	0	0	0	187,4	300
105	SDL	SDL105	SDL124	IN	PRUNUS	1921	187,4	300	0	0	0	187,4	300
106	SDL	SDL106	SDL125	IN	PRUNUS	1921	187,4	300	0	0	0	187,4	300
107	SDL	SDL107	SDL126	IN	PRUNUS	1928	248,516	449,316	0	0	0	248,516	449,316
108	SDL	SDL108	SDL127	IN	PRUNUS	1928	248,516	449,316	0	0	0	248,516	449,316
109	SDL	SDL109	SDL128	IN	PRUNUS	1928	248,516	449,316	0	0	0	248,516	449,316
110	SDL	SDL110	SDL129	IN	PRUNUS	1928	248,516	449,316	0	0	0	248,516	449,316
111	SDL	SDL111	SDL130	IN	PRUNUS	1928	248,516	449,316	0	0	0	248,516	449,316
112	SDL	SDL112	SDL131	IN	PRUNUS	1849	255,098	469,573	0	0	0	255,098	469,573
113	SDL	SDL113	SDL132	IN	PRUNUS	1849	255,098	469,573	0	0	0	255,098	469,573
114	SDL	SDL114	SDL133	IN	PRUNUS	1849	255,098	469,573	0	0	0	255,098	469,573
115	SDL	SDL115	SDL134	IN	PRUNUS	1849	255,098	469,573	0	0	0	255,098	469,573
116	SDL	SDL116	SDL135	IN	PRUNUS	1849	255,098	469,573	0	0	0	255,098	469,573
117	SDL	SDL117	SDL136	IN	PRUNUS	1123	319,4	569,4	0	0	0	319,4	569,4
118	SDL	SDL118	SDL137	IN	PRUNUS	1123	319,4	569,4	0	0	0	319,4	569,4
119	SDL	SDL119	SDL138	IN	PRUNUS	1123	319,4	569,4	0	0	0	319,4	569,4
120	SDL	SDL120	SDL139	IN	PRUNUS	1123	319,4	569,4	0	0	0	319,4	569,4
121	SDL	SDL121	SDL140	IN	PRUNUS	1123	319,4	569,4	0	0	0	319,4	569,4
122	SDL	SDL122	SDL141	IN	PRUNUS	1124	333,7	584	0	0	0	333,7	584
123	SDL	SDL123	SDL142	IN	PRUNUS	1124	333,7	584	0	0	0	333,7	584
124	SDL	SDL124	SDL143	IN	PRUNUS	1124	333,7	584	0	0	0	333,7	584
125	SDL	SDL125	SDL144	IN	PRUNUS	1124	333,7	584	0	0	0	333,7	584
126	SDL	SDL126	SDL145	IN	PRUNUS	1124	333,7	584	0	0	0	333,7	584
127	SDL	SDL127	SDL146	IN	PINO	385	212,1	477,5	6,3	130	2,268928028	216,92608	473,4504381
128	SDL	SDL128	SDL147	IN	PINO	385	212,1	477,5	6,3	130	2,268928028	216,92608	473,4504381
129	SDL	SDL129	SDL148	IN	PINO	385	212,1	477,5	6,3	130	2,268928028	216,92608	473,4504381
130	SDL	SDL130	SDL149	IN	PINO	385	212,1	477,5	6,3	130	2,268928028	216,92608	473,4504381
131	SDL	SDL131	SDL150	IN	PINO	385	212,1	477,5	6,3	130	2,268928028	216,92608	473,4504381
132	SDL	SDL132	SDL151	IN	PINO	385	212,1	477,5	6,3	130	2,268928028	216,92608	473,4504381
133	SDL	SDL133	SDL152	IN	PINO	385	212,1	477,5	6,3	130	2,268928028	216,92608	473,4504381
134	SDL	SDL134	SDL153	IN	PINO	385	212,1	477,5	6,3	130	2,268928028	216,92608	473,4504381
135	SDL	SDL135	SDL154	IN	PINO	pino P7	227,1992289	583,0375048	11,5	150	2,617993878	232,9492289	573,0782127
136	SDL	SDL136	SDL155	IN	PINO	pino P7	227,1992289	583,0375048	11,5	150	2,617993878	232,9492289	573,0782127
137	SDL	SDL137	SDL156	IN	PINO	pino P7	227,1992289	583,0375048	11,5	150	2,617993878	232,9492289	573,0782127
138	SDL	SDL138	SDL157	IN	PINO	pino P7	227,1992289	583,0375048	11,5	150	2,617993878	232,9492289	573,0782127
139	SDL	SDL139	SDL158	IN	PINO	P36	284,2809252	607,9736461	0	0	0	284,2809252	607,9736461
140	SDL	SDL140	SDL159	IN	PINO	P36	284,2809252	607,9736461	0	0	0	284,2809252	607,9736461
141	SDL	SDL141	SDL160	IN	PINO	P36	284,2809252	607,9736461	0	0	0	284,2809252	607,9736461
