orden	loc	area	mhab1	mhab2	point	name	ox	oy	x	y	species	code	year	n	densm2
56146	IN	NEW	B	B	52	INB52	51,44	374,95	251,44	674,95	Bvul	seedling	1997	0	0,00
56147	IN	NEW	B	B	53	INB53	54,91	384,49	254,91	684,49	Bvul	seedling	1997	0	0,00
56148	IN	NEW	B	B	54	INB54	43,99	399,41	243,99	699,41	Bvul	seedling	1997	0	0,00
56149	IN	NEW	B	B	55	INB55	53,19	403,7	253,19	703,70	Jcom	seedling	1997	0	0,00
56150	IN	NEW	B	B	56	INB56	49,79	409,59	249,79	709,59	Bvul	seedling	1997	0	0,00
56151	IN	NEW	B	B	57	INB57	56,96	417,8	256,96	717,80	Jcom	seedling	1997	0	0,00
56152	IN	NEW	B	B	58	INB58	66,69	423,15	266,69	723,15	Jcom	seedling	1997	0	0,00
56153	IN	NEW	B	B	59	INB59	66,35	432,1	266,35	732,10	Bvul	seedling	1997	0	0,00
56154	IN	NEW	B	B	60	INB60	66,06	443,03	266,06	743,03	Bvul	seedling	1997	0	0,00
56155	IN	NEW	B	B	61	INB61	76,22	437,48	276,22	737,48	Bvul	seedling	1997	0	0,00
56156	IN	NEW	B	B	62	INB62	83,15	432,65	283,15	732,65	Bvul	seedling	1997	0	0,00
56157	IN	NEW	B	B	63	INB63	85,38	432,47	285,38	732,47	Jcom	seedling	1997	0	0,00
56158	IN	NEW	B	B	64	INB64	88,28	427,38	288,28	727,38	Bvul	seedling	1997	0	0,00
56159	IN	NEW	B	B	65	INB65	87,56	419,12	287,56	719,12	Jcom	seedling	1997	0	0,00
56160	IN	NEW	B	B	66	INB66	96,32	420,66	296,32	720,66	Jcom	seedling	1997	0	0,00
56161	IN	NEW	B	B	67	INB67	100,99	415,99	300,99	715,99	Bvul	seedling	1997	0	0,00
56162	IN	NEW	B	B	68	INB68	97,35	408,91	297,35	708,91	Jcom	seedling	1997	0	0,00
56163	IN	NEW	B	B	69	INB69	105,87	410,17	305,87	710,17	Jcom	seedling	1997	0	0,00
56164	IN	NEW	B	B	70	INB70	112,54	411,96	312,54	711,96	Jcom	seedling	1997	0	0,00
56165	IN	NEW	B	B	71	INB71	47,48	324,86	247,48	624,86	Rsax	seedling	1997	0	0,00
56166	IN	NEW	B	B	72	INB72	59,24	312,78	259,24	612,78	Rsax	seedling	1997	0	0,00
56167	IN	NEW	B	B	73	INB73	59,76	300,58	259,76	600,58	Rsax	seedling	1997	0	0,00
56168	IN	NEW	P	P	1	INP1	50,83	219,03	250,83	519,03	Pnig	seedling	1997	3	18,07
56169	IN	NEW	P	P	2	INP2	51,14	228,53	251,14	528,53	Pnig	seedling	1997	1	6,02
56170	IN	NEW	P	P	3	INP3	52,05	245,21	252,05	545,21	Pnig	seedling	1997	0	0,00
56171	IN	NEW	P	P	4	INP4	45,68	268,97	245,68	568,97	Pnig	seedling	1997	0	0,00
56172	IN	NEW	P	P	5	INP5	34,9	269,7	234,90	569,70	Pnig	seedling	1997	0	0,00
56173	IN	NEW	P	P	6	INP6	37,77	280,42	237,77	580,42	Pnig	seedling	1997	0	0,00
56174	IN	NEW	P	P	7	INP7	27,2	283,04	227,20	583,04	Pnig	seedling	1997	0	0,00
56175	IN	NEW	P	P	8	INP8	14,76	302,11	214,76	602,11	Pnig	seedling	1997	1	6,02
56176	IN	NEW	P	P	9	INP9	-3,42	311,26	196,58	611,26	Pnig	seedling	1997	0	0,00
56177	IN	NEW	P	P	10	INP10	2,03	317,98	202,03	617,98	Pnig	seedling	1997	0	0,00
56178	IN	NEW	P	P	11	INP11	26,49	326,43	226,49	626,43	Pnig	seedling	1997	0	0,00
56179	IN	NEW	P	P	12	INP12	12,73	342,83	212,73	642,83	Pnig	seedling	1997	0	0,00
56180	IN	NEW	P	P	13	INP13	33,43	363,61	233,43	663,61	Pnig	seedling	1997	1	6,02
56181	IN	NEW	P	P	14	INP14	62,9	350,11	262,90	650,11	Pnig	seedling	1997	0	0,00
56182	IN	NEW	P	P	15	INP15	73,5	362,75	273,50	662,75	Pnig	seedling	1997	0	0,00
56183	IN	NEW	P	P	16	INP16	60,18	393,71	260,18	693,71	Pnig	seedling	1997	0	0,00
56184	IN	NEW	P	P	17	INP17	60,18	402,71	260,18	702,71	Pnig	seedling	1997	0	0,00
56185	IN	NEW	P	P	18	INP18	66,23	419,25	266,23	719,25	Pnig	seedling	1997	0	0,00
56186	IN	NEW	P	P	19	INP19	72,15	426,3	272,15	726,30	Pnig	seedling	1997	0	0,00
56187	IN	NEW	P	P	20	INP20	75,02	432,46	275,02	732,46	Pnig	seedling	1997	0	0,00
56188	IN	NEW	P	P	21	INP21	119,22	409	319,22	709,00	Pnig	seedling	1997	0	0,00
56189	IN	NEW	P	P	22	INP22	116,1	391,28	316,10	691,28	Pnig	seedling	1997	0	0,00
56190	IN	NEW	P	P	23	INP23	121,52	382,7	321,52	682,70	Pnig	seedling	1997	0	0,00
56191	IN	NEW	P	P	24	INP24	111,42	388,58	311,42	688,58	Pnig	seedling	1997	0	0,00
56192	IN	NEW	P	P	25	INP25	80,86	407,51	280,86	707,51	Pnig	seedling	1997	0	0,00
56193	IN	NEW	P	P	26	INP26	107,55	377,87	307,55	677,87	Pnig	seedling	1997	0	0,00
56194	IN	NEW	P	P	27	INP27	103,32	366,14	303,32	666,14	Pnig	seedling	1997	1	6,02
56195	IN	NEW	P	P	28	INP28	110,95	356,09	310,95	656,09	Pnig	seedling	1997	0	0,00
56196	IN	NEW	P	P	29	INP29	117,51	347,58	317,51	647,58	Pnig	seedling	1997	2	12,05
56197	IN	NEW	P	P	30	INP30	106,7	346,41	306,70	646,41	Pnig	seedling	1997	0	0,00
56198	IN	NEW	P	P	31	INP31	107,55	339,22	307,55	639,22	Pnig	seedling	1997	0	0,00
56199	IN	NEW	P	P	32	INP32	101,53	337,85	301,53	637,85	Pnig	seedling	1997	0	0,00
56200	IN	NEW	P	P	33	INP33	93,34	341,78	293,34	641,78	Pnig	seedling	1997	1	6,02
56201	IN	NEW	P	P	34	INP34	90,49	331,16	290,49	631,16	Pnig	seedling	1997	1	6,02
56202	IN	NEW	P	P	35	INP35	90,49	321,3	290,49	621,30	Pnig	seedling	1997	0	0,00
56203	IN	NEW	P	P	36	INP36	84,28	307,97	284,28	607,97	Pnig	seedling	1997	0	0,00
56204	IN	NEW	P	P	37	INP37	76,93	314,14	276,93	614,14	Pnig	seedling	1997	0	0,00
56205	IN	NEW	P	P	38	INP38	75,68	305,67	275,68	605,67	Pnig	seedling	1997	0	0,00
56206	IN	NEW	P	P	39	INP39	87,88	294,55	287,88	594,55	Pnig	seedling	1997	0	0,00
56207	IN	NEW	P	P	40	INP40	100,8	312,4	300,80	612,40	Pnig	seedling	1997	0	0,00
56208	IN	NEW	R	R	46	INR46	91,68	213,66	291,68	513,66	00DA	seedling	1997	0	0,00
56209	IN	NEW	R	R	47	INR47	90,1	215,55	290,10	515,55	00DA	seedling	1997	0	0,00
56210	IN	NEW	R	R	48	INR48	91,06	214,7	291,06	514,70	00DA	seedling	1997	0	0,00
56211	IN	NEW	R	R	49	INR49	96,91	217,53	296,91	517,53	00DA	seedling	1997	0	0,00
56212	IN	NEW	R	R	50	INR50	95,42	214,23	295,42	514,23	00DA	seedling	1997	0	0,00
56213	IN	NEW	R	R	51	INR51	79,86	219,66	279,86	519,66	00DA	seedling	1997	0	0,00
56214	IN	NEW	R	R	52	INR52	81,61	219,8	281,61	519,80	00DA	seedling	1997	0	0,00
56215	IN	NEW	R	R	53	INR53	78,91	222,72	278,91	522,72	00DA	seedling	1997	0	0,00
56216	IN	NEW	R	R	54	INR54	77,01	223,66	277,01	523,66	00DA	seedling	1997	0	0,00
56217	IN	NEW	R	R	55	INR55	80,34	224,77	280,34	524,77	00DA	seedling	1997	0	0,00
56218	IN	NEW	R	R	56	INR56	81,18	224,51	281,18	524,51	00DA	seedling	1997	0	0,00
56219	IN	NEW	R	R	57	INR57	82,72	226,11	282,72	526,11	00DA	seedling	1997	0	0,00
56220	IN	NEW	R	R	58	INR58	81,92	226,84	281,92	526,84	00DA	seedling	1997	0	0,00
