Prunus mahaleb, 11 loci microsatellites, 10 poplations
Fam001 FamMg3 Fam018 Tet403 TetE02 TetMC4 TetMC5 Hex406 Hex402 HexA05 HexH03                                                           
Pop
RB_RBR4   ,    127127    186186    244244    104104    143143    226226    231231    101101    116116    198198    261269
RB_RBR5   ,    127127    186194    244244    104104    143143    226226    231231    101101    116116    198198    261261
RB_RBR6   ,    117119    176206    244246    110124    143185    221228    231231    095095    134144    198200    263263
Pop
CM_701    ,    109119    178178    244246    102102    173173    222226    231231    097097    132132    198198    283283
CM_702    ,    121127    178194    244244    102102    161175    221226    231231    097097    132132    198198    259271
CM_703    ,    121127    178194    244244    102102    175175    226226    231231    097097    132132    198198    259259
CM_704    ,    109109    176178    244246    102102    173175    226226    231231    097097    132132    198198    281281
CM_705    ,    109119    176178    244246    102104    173175    222226    231231    097097    132132    198198    281283
CM_706    ,    109119    176178    246246    102102    173173    222226    231231    097097    132132    198198    281283
CM_707    ,    109109    178178    244244    102104    173175    222226    231231    097097    132132    198198    281283
CM_708    ,    109109    176178    244246    102104    175175    222226    231231    097097    132132    198198    281283
CM_709    ,    121121    178178    244244    102102    161175    226226    231231    097097    132146    198198    259271
CM_CM710  ,    109127    178178    244246    102106    177185    221226    231231    093095    132144    194198    257273
CM_711    ,    109119    178192    246246    102102    161177    221221    231231    097097    132144    198198    271273
CM_712    ,    117119    178194    246246    102106    143185    221226    231231    093093    132144    198198    269271
CM_CM713  ,    117119    178204    244246    102106    161167    221221    231231    093097    132144    198198    251273
CM_715    ,    109119    178178    244246    104104    175175    222226    231231    097097    132132    198198    281283
CM_CMNM1  ,    121127    178178    244246    102102    175175    221226    231231    097097    146146    198198    271271
Pop
CL_CL6    ,    113113    176176    244246    104124    173173    226228    231235    097101    134146    196198    271285
CL_NM1    ,    119119    194194    246246    104104    153153    221221    235235    093097    136136    198198    269283
CL_NM2    ,    117119    206206    244246    106142    161185    221226    231235    093095    118134    194198    257269
CL_NM3    ,    127127    176178    244244    106106    183183    221221    235235    097097    136136    198198    257283
CL_776    ,    129129    192194    244246    102102    173173    221221    231231    097101    132136    198198    257257
CL_777    ,    121121    176204    244246    110112    145167    221221    231235    097097    138144    194198    255259
CL_780    ,    117119    176206    244244    116142    161183    221221    235235    093097    132146    198200    257291
