MICROHAB	POINT	NAME	TREE	NEWX	NEWY	SPECIES MHAB
a	15	INa15		101.9	424.3	
a	16	INa16		196.5	309.6	
a	17	INa17		209.1	359.2	
a	18	INa18		207.8	359.5	
a	19	INa19		264.0	461.9	
a	20	INa20		279.8	478.5	
a	21	INa21		205.4	475.8	
a	22	INa22		180.3	477.2	
a	23	INa23		177.8	474.8	
a	24	INa24		173.3	470.1	
a	25	INa25		124.4	472.3	
a	26	INa26		133.3	440.3	
a	27	INa27		123.7	433.1	
a	28	INa28		110.9	425.9	
a	29	INa29		74.8	410.5	
a	30	INa30		71.5	432.9	
a	31	INa31		175.4	309.0	
a	32	INa32		186.2	306.4	
a	33	INa33		187.4	314.8	
a	34	INa34		197.9	325.3	
a	35	INa35		200.7	328.6	
a	36	INa36		201.1	330.8	
a	37	INa37		212.1	360.2	
a	38	INa38		259.0	437.3	
a	39	INa39		273.6	478.2	
a	40	INa40		271.7	487.9	
a	41	INa41		236.3	585.2	
a	42	INa42		228.4	587.7	
a	43	INa43		225.3	596.0	
a	44	INa44		218.7	605.5	
a	45	INa45		228.1	608.5	
a	46	INa46		225.0	611.1	
a	47	INa47		238.2	631.9	
a	48	INa48		243.9	631.1	
a	49	INa49		252.5	649.7	
a	50	INa50		240.8	663.3	
a	51	INa51		251.6	671.6	
