SITE	MHAB	POINT	LABEL	OX	OY	x	y	AREA	SITE2	MICRO	MICROCAMPO	sdl97	sd9798	sdl98	sd9899	sdl99	sd9900	sd	sdl
IN	a	57	INa57	56.96	417.80	256.96	717.80	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	58	INa58	66.69	423.15	266.69	723.15	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	59	INa59	66.35	432.10	266.35	732.10	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	60	INa60	66.06	443.03	266.06	743.03	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	61	INa61	76.22	437.48	276.22	737.48	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	62	INa62	83.15	432.65	283.15	732.65	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	63	INa63	85.38	432.47	285.38	732.47	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	64	INa64	88.28	427.38	288.28	727.38	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	65	INa65	87.56	419.12	287.56	719.12	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	66	INa66	96.32	420.66	296.32	720.66	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	67	INa67	100.99	415.99	300.99	715.99	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	68	INa68	97.35	408.91	297.35	708.91	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	69	INa69	105.87	410.17	305.87	710.17	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	70	INa70	112.54	411.96	312.54	711.96	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	71	INa71	47.48	324.86	247.48	624.86	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	a	72	INa72	59.24	312.78	259.24	612.78	IN	NEW	a	a	0	0	0	0	0	1	1	0
IN	a	73	INa73	59.76	300.58	259.76	600.58	IN	NEW	a	a	0	0	0	0	0	0	0	0
IN	P	1	INP1	50.83	219.03	250.83	519.03	IN	NEW	P	P	3	1	1	0	0	9	10	4
IN	P	2	INP2	51.14	228.53	251.14	528.53	IN	NEW	P	P	1	2	0	1	0	6	9	1
IN	P	3	INP3	52.05	245.21	252.05	545.21	IN	NEW	P	P	0	2	0	0	0	3	5	0
IN	P	4	INP4	45.68	268.97	245.68	568.97	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	5	INP5	34.90	269.70	234.90	569.70	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	6	INP6	37.77	280.42	237.77	580.42	IN	NEW	P	P	0	0	0	0	0	2	2	0
IN	P	7	INP7	27.20	283.04	227.20	583.04	IN	NEW	P	P	0	0	0	0	0	3	3	0
IN	P	8	INP8	14.76	302.11	214.76	602.11	IN	NEW	P	P	1	0	1	0	0	3	3	2
IN	P	9	INP9	-3.42	311.26	196.58	611.26	IN	NEW	P	P	0	0	0	0	0	2	2	0
IN	P	10	INP10	2.03	317.98	202.03	617.98	IN	NEW	P	P	0	0	1	0	0	2	2	1
IN	P	11	INP11	26.49	326.43	226.49	626.43	IN	NEW	P	P	0	0	0	0	0	4	4	0
IN	P	12	INP12	12.73	342.83	212.73	642.83	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	13	INP13	33.43	363.61	233.43	663.61	IN	NEW	P	P	1	0	0	0	0	2	2	1
IN	P	14	INP14	62.90	350.11	262.90	650.11	IN	NEW	P	P	0	1	0	0	0	0	1	0
IN	P	15	INP15	73.50	362.75	273.50	662.75	IN	NEW	P	P	0	0	0	0	0	4	4	0
IN	P	16	INP16	60.18	393.71	260.18	693.71	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	17	INP17	60.18	402.71	260.18	702.71	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	18	INP18	66.23	419.25	266.23	719.25	IN	NEW	P	P	0	0	0	0	0	2	2	0
IN	P	19	INP19	72.15	426.30	272.15	726.30	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	20	INP20	75.02	432.46	275.02	732.46	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	21	INP21	119.22	409.00	319.22	709.00	IN	NEW	P	P	0	0	0	0	0	1	1	0
IN	P	22	INP22	116.10	391.28	316.10	691.28	IN	NEW	P	P	0	0	0	0	0	1	1	0
IN	P	23	INP23	121.52	382.70	321.52	682.70	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	24	INP24	111.42	388.58	311.42	688.58	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	25	INP25	80.86	407.51	280.86	707.51	IN	NEW	P	P	0	1	0	0	0	1	2	0
IN	P	26	INP26	107.55	377.87	307.55	677.87	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	27	INP27	103.32	366.14	303.32	666.14	IN	NEW	P	P	1	1	0	0	0	2	3	1
IN	P	28	INP28	110.95	356.09	310.95	656.09	IN	NEW	P	P	0	1	0	0	0	0	1	0
IN	P	29	INP29	117.51	347.58	317.51	647.58	IN	NEW	P	P	2	0	0	0	0	0	0	2
IN	P	30	INP30	106.70	346.41	306.70	646.41	IN	NEW	P	P	0	0	0	0	0	2	2	0
IN	P	31	INP31	107.55	339.22	307.55	639.22	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	32	INP32	101.53	337.85	301.53	637.85	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	33	INP33	93.34	341.78	293.34	641.78	IN	NEW	P	P	1	0	0	0	0	0	0	1
IN	P	34	INP34	90.49	331.16	290.49	631.16	IN	NEW	P	P	1	0	0	0	0	1	1	1
IN	P	35	INP35	90.49	321.30	290.49	621.30	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	36	INP36	84.28	307.97	284.28	607.97	IN	NEW	P	P	0	3	0	0	2	1	4	2
IN	P	37	INP37	76.93	314.14	276.93	614.14	IN	NEW	P	P	0	0	0	0	0	0	0	0
IN	P	38	INP38	75.68	305.67	275.68	605.67	IN	NEW	P	P	0	0	1	0	0	1	1	1
IN	P	39	INP39	87.88	294.55	287.88	594.55	IN	NEW	P	P	0	0	1	0	0	2	2	1
IN	P	40	INP40	100.80	312.40	300.80	612.40	IN	NEW	P	P	0	1	0	0	1	3	4	1
